word,phoneme,short_def,vi,hint_level
absorber,/əbˈzɔrbɝ/,a science term,hấp thụ,1
absorption,"/əbˈzɔrpʃən/, /əbˈsɔrpʃən/",state of complete attention,sự hấp thụ,4
absorbency,/əbˈzɔrbənsi/,the ability to take in liquid,thấm hút,1
abstainer,"/əbˈsteɪnd/, /æbˈsteɪnd/",one who denies oneself,người kiêng cữ,1
abstemiousness,"/əbˈsteɪnɪŋ/, /æbˈsteɪnɪŋ/",a moderate way to consume,thái quá,1
abstention,"/əbˈstɛntʃən/, /æbˈstɛntʃən/",act of choosing not to do,kiêng khem,1
abstinence,/ˈæbstənəns/,the act of not doing something,kiêng khem,2
abstractness,/æbˈstrækʃənz/,thought of apart from reality,sự trừu tượng,1
abstraction,/æbˈstrækʃən/,state of not paying attention,trừu tượng,3
abstruseness,/əbˈstruːs/,quality of being unclear,sự khó hiểu,1
absurdity,/əbˈsɝːdəti/,a foolish action,sự phi lý,4
abundance,/əˈbʌndəns/,a large amount,phong phú,4
abuser,/əˈbjuːzɝ/,one who treats another badly,kẻ ngược đãi,2
abuse,"/əˈbjuːs/, /əˈbjuːz/",act of using too many of drugs,lạm dụng,4
abutter,/əˈbʌtəd/,owner of connected property,bơ vơ,1
abutment,/əˈbʌt/,structure that supports,trụ cầu,1
abyss,/əˈbɪs/,a deep hole,vực sâu,1
acacia,/əˈkeɪʃə/,a tree in warm regions,cây keo,1
academia,/ˌækəˈdiːmiːə/,the community of education,hàn lâm,2
academic,/ˌækəˈdɛmɪk/,having no practical importance,học thuật,5
academy,/əˈkædəmi/,a private high school,học viện,4
acceleration,/ˌækˌsɛlɝˈeɪʃən/,act of moving or happening faster,sự tăng tốc,4
accelerator,/ækˈsɛlɝˌeɪtɝ/,a pedal to make a vehicle go,máy gia tốc,3
accent,"/əkˈsɛnt/, /ˈækˌsɛnt/",a mark to show a sound,giọng,4
accentuation,/ækˈsɛntʃuːˌeɪtɪŋ/,the use of stress when talking,nhấn mạnh,1
acceptability,/əkˌsɛptəˈbɪləti/,the state of being sufficient,khả năng chấp nhận,3
acceptance,"/ækˈsɛptəns/, /əkˈsɛptəns/",the state of being approved,chấp thuận,4
accessibility,/ˌæksɛsəˈbɪlɪti/,quality of being available,khả năng tiếp cận,3
accession,/əkˈsɛʃən/,the act of coming to power,gia nhập,3
accessory,/ækˈsɛsɝi/,one who helps in a crime,phụ kiện,4
acclaim,/əˈkleɪm/,strong approval or praise,hoan hô,4
acclamation,/ˌækləˈmeɪʃən/,strong approval,hoan nghênh,1
acclimation,/ˌækləˈmeɪʃən/,adjusting to a new climate,thích nghi,1
acclimatization,/ˌækləˈmeɪʃən/,act of adapting to a climate,thích nghi với khí hậu,1
acclimatisation,/ˌækləˈmeɪʃən/,act of adapting to a climate,thích nghi với khí hậu,1
accolade,/ˈækəˌleɪd/,an award or expression of praise,giải thưởng,1
accommodation,/əˌkɑːməˈdeɪʃən/,a place where people can stay,chỗ ở,5
accompaniment,"/əˈkʌmpnɪmənt/, /əˈkʌmpniːmənt/",music played to support,nhạc đệm,3
accompanist,/əˈkʌmpənəst/,one who gives musical support,người đệm đàn,1
accomplice,/əˈkɑːmpləs/,a partner in crime,tòng phạm,2
accomplishment,/əˈkɑːmplɪʃmənt/,a skill gained by practice,thành tích,4
accord,/əˈkɔrd/,to give something to another,phù hợp,4
of its own accord,"/ˈʌv/, /əv/",a thing happens on its own,theo ý mình,1
of your own accord,"/ˈʌv/, /əv/",to do because one wants to,theo cách riêng của bạn,1
accordance,/əˈkɔrdəns/,agreement,tùy theo,4
accordion,/əˈkɔrdiːən/,a musical instrument,đàn phong cầm,1
accordionist,/əˈkɔrdiːən/,a kind of musician,người chơi đàn phong cầm,1
bring/call (someone) to account,/ˈbrɪŋ/,to require to explain and accept punishment,đưa/gọi (ai đó) vào tài khoản,1
by/from all accounts,/ˈbaɪ/,according to all descriptions,bởi/từ tất cả các tài khoản,1
by your own account,/ˈbaɪ/,according to what one has said,bằng tài khoản của chính bạn,1
give a good account of yourself,/ˈgɪv/,to perform well,cung cấp cho một tài khoản tốt của chính mình,1
on someone's account,"/ˈɑːn/, /ˈɔn/",because of one,trên tài khoản của ai đó,1
on your own account,"/ˈɑːn/, /ˈɔn/",on your own,trên tài khoản của riêng bạn,1
take (something) into account,/ˈteɪk/,consider,tính đến (cái gì),1
turn (something) to (good) account,/ˈtɝːn/,to gain from,biến (thứ gì đó) thành tài khoản (tốt),1
accountability,/əˈkaʊntəˌbɪlɪti/,responsibility,trách nhiệm giải trình,4
accountant,/əˈkaʊntənt/,a keeper of financial records,kế toán viên,4
accoutrement,/əˈkuːtɝmənt/,a piece for a specific activity,trang phục,1
accreditation,/əˌkrɛdəˈteɪʃən/,the act of giving recognition,công nhận,3
accretion,/əˈkriːʃən/,growth by slow addition,sự bồi tụ,1
accrual,/əˈkruːəl/,the act of gathering,dồn tích,1
accumulation,/əˌkjuːmjəˈleɪʃən/,an increase by addition,sự tích lũy,4
accuracy,/ˈækjɝəsi/,ability to work without errors,sự chính xác,4
accusation,"/ˌækjəˈzeɪʃən/, /ˌækjuːˈzeɪʃən/",a claim for a crime,buộc tội,4
accusative,/əˈkjuːzətɪv/,a grammar term,buộc tội,1
accuser,/əˈkjuːzɝ/,one attributing blame,người tố cáo,2
accused,/əˈkjuːzd/,one charged with a crime,bị buộc tội,3
ace,/ˈeɪs/,to score a point on,át chủ,4
an ace in the hole,"/ˈæn/, /ən/",a secret advantage,một ace trong lỗ,1
hold all the aces,/ˈhoʊld/,to have an advantage over,giữ tất cả các con át chủ bài,1
within an ace of,"/wɪˈðɪn/, /wɪˈθɪn/",very near to,trong vòng một át chủ bài,1
acetaminophen,/əˌsiːtəˈmɪnəfən/,a medicine that reduces pain,một loại thuốc làm giảm đau,1
acetylene,/əˈsɛtəˌliːn/,a gas without color,axetilen,1
ache,/ˈeɪk/,a steady pain,đau nhức,4
achiever,/əˈtʃiːvɝ/,a successful person,người thành công,1
achilles' heel,/əˈkɪliːz/,a fault which causes failure,gót chân achilles,1
acid,/ˈæsəd/,sharp and critical in tone,axit,4
acidity,/əˈsɪdəti/,a chemical term,tính axit,4
acidification,/əˌsɪdəfəˈkeɪʃən/,a science term,axit hóa,1
acknowledgment,/ækˈnɑːlɪdʒmənt/,the act of accepting,nhìn nhận,1
acme,/ˈækmi/,the highest point,điểm cao nhất,2
acne,/ˈækni/,a skin condition with pimples,mụn,2
acolyte,/ˈækəˌlaɪt/,one who follows a leader,thầy giúp lễ,1
acorn,/ˈeɪkɔrn/,the nut of an oak tree,quả sồi,2
acoustics,/əˈkuːstɪks/,the sound qualities of a room,âm học,2
acquaintance,/əˈkweɪntəns/,one who is known but not close,người quen,4
acquaintanceship,/əˈkweɪntənsʃɪp/,state of knowing one a little,sự quen biết,1
acquiescence,/ˌækwiːˈɛsəns/,agreement with a statement,bằng lòng,1
acquired immune deficiency syndrome,/əˈkwaɪɝd/,a serious disease,hội chứng suy giảm miễn dịch mắc phải,1
acquisition,/ˌækwəˈzɪʃən/,a thing one has gotten,sự mua lại,4
acquisitiveness,/əˈkwɪzətɪv/,a strong desire to have,khả năng thâu tóm,1
acquittal,/əˈkwɪtəl/,act of saying one is not guilty,trắng án,1
acre,/ˈeɪkɝ/,a measure of land area,mẫu anh,4
acreage,"/ˈeɪkərɪdʒ/, /ˈeɪkrɪdʒ/",land measured in units,diện tích,1
acrimony,/ˈækrɪˌmoʊni/,angry feelings,sự gay gắt,1
acrobat,/ˈækrəˌbæt/,one who performs,diễn viên xiếc,2
acrobatics,/ˌækrəˈbætɪks/,difficult or dangerous acts,nhào lộn,1
acronym,/ˈækrənɪm/,a word made from first letters,từ viết tắt,1
acrylic,/əˈkrɪlɪk/,a kind of paint for artists,một loại sơn cho các nghệ sĩ,1
get into the act,"/ˈgɛt/, /ˈgɪt/",to begin participating,tham gia vào hành động,1
in the act (of doing something),"/ɪn/, /ˈɪn/",while doing,trong hành động (làm một cái gì đó),1
activation,/ˌæktəˈveɪʃən/,the act of causing activity,kích hoạt,3
activist,/ˈæktɪvɪst/,one working for social change,nhà hoạt động,4
activism,/ˈæktɪˌvɪzəm/,policy of taking direct action,chủ nghĩa tích cực,1
actress,/ˈæktrəs/,a female actor,nữ diễn viên,5
actuality,/ˌæktʃuːˈæləˌtiː/,something that is real,thực tế,2
actuary,/ˈæktʃuːˈɛˌriː/,one who calculates risk,chuyên gia tính toán,1
acuity,/əˈkjuːəti/,ability to understand easily,sự nhạy bén,1
acumen,/əˈkjuːmən/,ability to make good decisions,sự nhạy bén,1
acupressure,/ɑːˈkuːnə/,a method of treating illness,bấm huyệt,1
acupuncture,/ˈækjuːˌpəŋktʃɝ/,a method of reducing pain,châm cứu,4
acuteness,/əˈkjuːtnəs/,quality of having a sharp edge,sự sắc bén,1
adage,/ˈædədʒ/,an old and famous saying,câu ngạn ngữ,2
adagio,/əˈdɑːʒiːˌoʊ/,a slow piece of music,một bản nhạc chậm,1
adamance,/ˈædəmz/,a kind of determination,kiên quyết,1
adaptability,/əˌdæptəˈbɪləti/,the ability to change,khả năng thích nghi,1
adaptation,/ˌædəpˈteɪʃən/,something that is changed,thích nghi,4
adapter,/əˈdæptɝ/,a device to connect two things,bộ chuyển đổi,1
addendum,/əˈdɛndəm/,something that is attached,phụ lục,2
adder,/ˈædɝ/,a type of snake,máy cộng,1
addict,"/əˈdɪkt/, /ˈæˌdɪkt/",one unable to stop using drugs,con nghiện,4
addiction,/əˈdɪkʃən/,a very great interest,nghiện,4
additive,/ˈædɪtɪv/,an added substance,phụ gia,1
form/term of address,/ˈfɔrmz/,a term used to address one,hình thức/thời hạn của địa chỉ,1
addressee,/ˌædrɛˈsiː/,one to whom mail is directed,người nhận,1
adenoids,/ˈædəˌnɔɪdz/,a mass of tissue in the throat,một khối mô trong cổ họng,2
adeptness,/əˈdɛpt/,a state of great skill,sự lão luyện,1
adept,/əˈdɛpt/,a highly skilled person,lão luyện,3
adequacy,/ˈædəkwəsi/,the ability to meet a need,đầy đủ,4
adherence,/ədˈhɪrəns/,act of doing what is required,tuân thủ,4
adherent,/ədˈhɪrənt/,one who supports a system,tuân thủ,1
adhesion,/ædˈhiːʒən/,the act of sticking to,độ bám dính,3
adhesive,"/ædˈhiːsɪv/, /ədˈhiːsɪv/",designed to stick to something,dính,2
adieu,/əˈduː/,goodbye,tạm biệt,1
adjective,/ˈædʒɪktɪv/,a word describing a noun,tính từ,4
adjournment,/əˈdʒɝːnmənt/,the ending of a meeting,hoãn lại,1
adjudication,/əˌdʒuːdəˈkeɪʃən/,final judgment in a legal act,xét xử,3
adjudicator,/əˌdʒuːdəˈkeɪʃən/,one who settles conflicts,người phân xử,1
adjunct,/ˈæˌdʒəŋkt/,added to a teaching staff,phụ trợ,1
adjuster,/əˈdʒʌstɝ/,one who investigates claims,điều chỉnh,1
adjutant,/ˈædʒətənt/,army officer who helps seniors,phụ tá,2
adman,/ˈædmən/,a man who writes or sells ads,quảng cáo,1
admin,/ˈædmɪn/,the management of a business,quản trị viên,1
administrator,/ədˈmɪnɪˌstreɪtɝ/,one who manages,người quản lý,3
admiral,/ˈædmɝəl/,a senior officer,đô đốc,3
admiralty,/ˈædmɝəlti/,the office of one in charge,đô đốc,1
admiration,/ˌædmɝˈeɪʃən/,a feeling of great respect,sự khâm phục,4
admirer,/ædˈmaɪrɝ/,one who supports someone,người ngưỡng mộ,2
admission,"/ædˈmɪʃən/, /ədˈmɪʃən/",permission to enter a place,nhận vào,4
admittance,/ədˈmɪtəns/,permission to enter,nhập học,4
admixture,"/ædˈmɪtɪŋ/, /ədˈmɪtɪŋ/",something formed by mixing,phụ gia,1
admonishment,/ædˈmɑːnɪʃmɛnt/,a firm criticism,lời khuyên răn,1
admonition,/ˌædməˈnɪʃən/,a criticism or warning,lời khuyên,2
ado,/əˈduː/,foolish or unnecessary talk,tạm biệt,2
adobe,/əˈdoʊbi/,a type of building block,một loại khối xây dựng,2
adolescence,"/ˌædəˈlɛsəns/, /ˌædoʊˈlɛsəns/",time when one becomes an adult,thời niên thiếu,4
adolescent,"/ˌædəˈlɛsənt/, /ˌædoʊˈlɛsənt/",one who is becoming an adult,thanh niên,4
adoption,/əˈdɑːpʃən/,act of starting to use or have,nhận con nuôi,4
adoration,/ˌædɝˈeɪʃən/,strong feelings of love,yêu mến,2
adornment,/əˈdɔrnmənt/,thing added to make attractive,đồ trang sức,1
adrenaline,/əˈdrɛnələn/,substance released in the body,adrenalin,2
adroitness,/əˈdrɔɪtli/,performance that has skill,sự khéo léo,1
adulation,/ˌædʒəˈleɪʃən/,extreme praise,sự nịnh nọt,1
adulthood,/əˈdʌltˌhʊd/,the state of being mature,trưởng thành,4
adulteration,/əˌdəltɝˈeɪʃən/,the act of adding a substance,ngoại tình,1
adulterer,/əˈdʌltɝɝ/,married person who isn't true,ngoại tình,1
adulteress,/əˈdʌltɝɝz/,woman who has sex with another man,ngoại tình,1
adultery,/əˈdʌltɝi/,sex outside a relationship,ngoại tình,3
advancer,/ədˈvænsɝ/,one who moves forward,người đi trước,1
advancement,/ədˈvænsmənt/,the act of moving forward,thăng tiến,4
advent,/ˈædˌvɛnt/,a period before Christmas,sự ra đời,4
adventurer,"/ædˈvɛntʃɝɝ/, /ədˈvɛntʃɝɝ/",one who likes danger and excitement,nhà thám hiểm,4
adventurism,/ædˈvɛntʃɝˌɪzəm/,a risk taking attitude,chủ nghĩa phiêu lưu,1
adverb,/ˈædvɝb/,a grammar term,trạng từ,4
adversary,/ˈædvɝˌsɛri/,an enemy or opponent,đối thủ,4
adversity,/ædˈvɝːsɪˌtiː/,a difficult situation,nghịch cảnh,4
advert,/ædˈvɝːsɪˌtiː/,a notice to sell or announce,quảng cáo,3
advertiser,/ˈædvɝˌtaɪzɝ/,one promoting a business,nhà quảng cáo,1
advertising,/ˈædvɝˌtaɪzɪŋ/,written or spoken announcements,quảng cáo,5
advisability,/ˌædˌvaɪzəˈbɪlɪti/,the quality of being proper,khả năng tư vấn,1
take (something) under advisement,/ˈteɪk/,to consider carefully,nhận (cái gì) dưới sự tư vấn,1
advisory,/ædˈvaɪzɝi/,report that gives information,tham mưu,4
advocacy,/ˈædvəkəsi/,the act of supporting a cause,biện hộ,4
adze,/ˈædz/,a curved wood cutting tool,quảng cáo,1
aegis,/ˈiːdʒəs/,the power to protect,sức mạnh để bảo vệ,1
aeration,/ˈɛr/,process of exposing to air,sục khí,1
aerial,/ˈɛriːəl/,performing using a plane,trên không,4
aerie,/ˈɛri/,building on a great height,không trung,1
aerobatics,/ˌɛrəˈbætɪks/,tricks performed with aircraft,nhào lộn trên không,1
aerobics,/ɝˈoʊbɪks/,a type of exercise,thể dục nhịp điệu,2
aerodynamics,/ˌɛroʊdaɪˈnæmɪks/,the qualities of air movement,khí động học,2
aeronautics,/ˌɛrəˈnɔtɪks/,science that deals with planes,hàng không,1
aeroplane,/ˌɛroʊpeɪˈruːz/,an aircraft,máy bay,4
aerosol,/ˈɛrəˌsɑːl/,a substance under pressure,sol khí,2
aerospace,/ˈɛroʊˌspeɪs/,the space flight industry,hàng không vũ trụ,3
aesthete,/ˈɛsθiːt/,one who values art and beauty,thẩm mỹ,1
aesthetic,/ɛsˈθɛtɪk/,the study of beauty,thẩm mỹ,4
affability,/əˈfɑːr/,a friendly nature,niềm nở,1
affectation,/ˌæfɛkˈteɪʃən/,behavior meant to impress,ảnh hưởng,1
affection,/əˈfɛkʃən/,a feeling of liking someone,sự yêu mến,4
affidavit,/ˌæfəˈdeɪvət/,a written and signed report,bản khai có tuyên thệ,3
affiliate,"/əˈfɪliːˌeɪt/, /əˈfɪliːət/",member of a larger network,liên kết,4
affiliation,/əˌfɪliːˈeɪʃən/,state of belonging to a group,liên kết,4
affinity,/əˈfɪnɪti/,a quality that connects people,sự giống nhau,3
affirmation,/ˌæfɝˈmeɪʃən/,a statement of truth,khẳng định,4
affix,"/ˈæfɪks/, /əˈfɪks/",to attach,dán vào,4
affliction,/əˈflɪkʃən/,something that causes pain,phiền não,1
affluence,/ˈæfluːəns/,great wealth,sung túc,4
afforestation,/əˈfɔrdz/,process of planting a forest,trồng rừng,1
affray,/əˈfɔrdz/,a loud fight in a public place,ẩu đả,1
affront,/əˈfrʌnt/,to show a lack of respect,sỉ nhục,2
afghan,/ˈæfˌgæn/,a blanket made of wool,afghanistan,1
afghan,/ˈæfˌgæn/,a kind of dog,afghanistan,1
afghan hound,/ˈæfˌgæn/,a type of dog,chó săn afghanistan,1
aficionado,/əˌfiːʃjəˈnɑːˌdoʊ/,one who knows a lot about,người hâm mộ,1
afrikaans,/ˌæfrəˈkɑːnz/,a type of language,tiếng nam phi,1
afrikaner,/ˌæfrəˈkɑːnɝ/,person from South Africa,người gốc phi,1
afro,/ˈæfroʊ/,a type of a hairstyle,người da đen,1
afterbirth,/ˈæftɝˌɑːl/,tissue passed after giving birth,sau khi sanh,1
aftercare,/ˈæftɝˌbɝːnɝz/,treatment for people who leave,chăm sóc hậu mãi,1
aftereffect,/ˈæftɝəˌfɛkt/,a delayed effect,sau khi có hiệu lực,1
afterglow,/ˈæftɝˌgloʊ/,a happy feeling,hào quang,2
afterlife,/ˈæftɝˌlaɪf/,the life one has after death,thế giới bên kia,2
aftermath,/ˈæftɝˌmæθ/,the time after a bad event,hậu quả,4
afters,/ˌæftɝˈnuːnz/,sweet food after the main meal,hậu quả,1
aftershave,/ˌæftɝˈʃeɪv/,liquid for a man's smooth face,cạo râu,1
aftershock,/ˈæftɝˌʃɑːk/,a small movement of the Earth,dư chấn,1
aftertaste,/ˈæftɝˌteɪst/,a taste that remains,dư vị,1
afterthought,"/ˈæftɝˌθɑːt/, /ˈæftɝˌθɔt/",a second thought,suy nghĩ lại,2
afterword,/ˈæftɝwɝdz/,a final part of a book,lời bạt,1
agate,/ˈægət/,a very hard stone,mã não,1
in a coon's age,"/ɪn/, /ˈɪn/",in a very long time,trong một tuổi coon,1
agedness,"/ˈeɪdʒd/, /ˈeɪdʒɪd/",quality of old age,tuổi tác,1
ageism,/ˈeɪdʒiːz/,unfair treatment of old people,phân biệt tuổi tác,1
agelessness,/ˈeɪdʒləs/,quality of lasting forever,không tuổi,1
through the agency of,/ˈθruː/,by using the help of,thông qua đại lý của,1
agenda,/əˈdʒɛndə/,a guiding plan,chương trình nghị sự,5
the age of consent,"/ðə/, /ˈðʌ/, /ði/",age when one can marry,tuổi đồng ý,1
agglomeration,/əˌglɑːmɝˈeɪʃən/,a collection of things,kết tụ,1
aggrandizement,"/ˈægrənˌdaɪzmənt/, /əˈgrænˌdaɪzmənt/",increase in importance,sự phóng đại,1
aggravation,/ˌægrəˈveɪʃən/,something that bothers someone,tình tiết tăng nặng,4
aggregation,/ˌægrəˈgeɪʃən/,the act of gathering together,tổng hợp,1
aggregate,"/ˈægrəgət/, /ˈægrəgeɪt/",a total amount,tổng hợp,4
aggression,/əˈgrɛʃən/,angry or violent behavior,hiếu chiến,4
aggressiveness,/əˈgrɛsɪvnəs/,quality of being daring,tính hiếu chiến,1
aggressor,/əˈgrɛsɝ/,one who attacks others,kẻ xâm lược,2
aggro,/əˈgriːvd/,something that bothers someone,hung bạo,1
agility,/əˈdʒɪləti/,state of being quick and skilled,nhanh nhẹn,2
agitation,/ˌædʒəˈteɪʃən/,a disturbed state,kích động,4
agitator,/ˈædʒəˌteɪtɝ/,a device for stirring,người khuấy động,1
agm,/əˈgloʊ/,an official annual meeting,đhcđ,1
agnostic,/ægˈnɑːstɪk/,one who is not sure about God,bất khả tri,1
agnosticism,/ægˈnɑːstɪk/,lack of a belief in a god,thuyết bất khả tri,1
agony,/ˈægəni/,extreme pain,đau đớn,4
agoraphobia,/əˌgɔrəˈfoʊbiːə/,fear of being in open places,chứng sợ đám đông,1
agreeableness,/əˈgriːəbəl/,a pleasant quality,sự dễ chịu,1
agribusiness,/ˈægrəˌbɪznəs/,a company engaged in farming,kinh doanh nông nghiệp,1
agriculture,/ˈægrɪˌkəltʃɝ/,the science of farming,nông nghiệp,4
agriculturist,/ˈægrɪˌkəltʃɝz/,one involved in farming,nông phu,1
agriculturalist,/ˌægrɪˈkʌltʃɝələst/,one involved in farming,nhà nông học,1
agronomy,"/əˈgrɑːnəmɪsts/, /əˈgrɑːnəmɪs/",science that deals with farming,nông học,1
agronomist,/əˈgrɑːnəmɪst/,an expert in soil management,nhà nông học,1
aide,/ˈeɪd/,one who assists another,phụ tá,4
aileron,/ˈeɪlɝˌɑːn/,a part of a plane's wing,cánh hoa thị,1
ailment,/ˈeɪlmənt/,an illness,bệnh tật,4
aimlessness,/ˈeɪmləsli/,the quality of lacking purpose,không mục đích,1
floating on air,/ˈfloʊtɪŋ/,feeling very happy,lơ lửng trên không,1
up in the air,/ˈʌp/,not yet settled,lên không trung,1
air bed,/ˈɛr/,a bed filled with air,giường hơi,1
airbrush,/ˈɛrˌbɔrnz/,to paint with a spraying device,bút lông,1
airdrop,/ˈɛrdrɑːp/,delivery of supplies via plane,thả dù,1
airfare,/ˈɛrˌfɛr/,price for travel by aircraft,vé máy bay,1
airfield,/ˈɛrˌfiːld/,a place for planes to land,sân bay,3
airhead,/ˈɛrˌhɛd/,a silly and stupid person,đầu máy bay,2
airlift,/ˈɛrˌlɪft/,act of transporting by planes,không vận,2
airline,/ˈɛrˌlaɪn/,company operating many planes,hãng hàng không,5
airliner,/ˈɛrˌlaɪnɝ/,a large passenger aircraft,máy bay,1
airmail,/ˈɛrˌmeɪl/,system to send mail by plane,đường hàng không,1
airman,/ˈɛrmən/,a member of the military,phi công,2
airplane,/ˈɛrˌpleɪn/,an aircraft,máy bay,4
airplay,/ˈɛrpleɪnz/,time during a radio broadcast,phát sóng,1
airship,/ˈɛrˌʃɪp/,a very large aircraft,khinh khí cầu,1
airsickness,/ˈɛrˌʃɪps/,a kind of motion illness,say máy bay,1
airspace,/ˈɛrˌspeɪs/,the sky above a country,vùng trời,2
airspeed,/ˈɛrˌspiːd/,the speed of an aircraft,tốc độ bay,1
airstrip,/ˈɛrˌstrɪp/,area for planes to take off and land,đường băng,2
airtime,/ˈɛrˌtaɪm/,time during a radio broadcast,thời gian phát sóng,1
airwaves,/ˈɛrˌweɪvz/,broadcasting signals,làn sóng,2
airway,/ˈɛrˌweɪ/,passage for air in the throat,khí đạo,2
airworthiness,/ˈɛrˌwɝːðiːnəs/,the state of being fit to fly,khả năng bay,1
airiness,/ˈɛrˌhɛdz/,the quality of being light,độ thoáng,1
aisle,"/ˈaɪl/, /ˈaɪəl/",a passage where people walk,lối đi,4
walk down the aisle,"/ˈwɔk/, /ˈwɑːk/",to get married,đi bộ xuống lối đi,1
alabaster,/ˈæləˌbæstɝ/,a white stone,thạch cao tuyết hoa,2
alacrity,/əˈlækrəti/,a quick and happy readiness,sự sốt sắng,1
alarmist,/əˈlɑːrmɪst/,one who spreads fear,người báo động,2
alarmism,/əˈlɑːrmɪŋli/,warnings that are not needed,chủ nghĩa báo động,1
albatross,/ˈælbəˌtrɑːs/,a problem that continues,chim hải âu,2
albino,/ælˈbaɪˌnoʊ/,one with pale skin and white hair,bạch tạng,2
albinism,/ɑːlˈbiːniːə/,absence of skin color,bệnh bạch tạng,1
albumen,/ˈælbəmz/,the white of an egg,lòng trắng trứng,1
alchemy,/ˈælkəmi/,a power that changes a thing,thuật giả kim,2
alchemist,/ˈælkɛˌmɪst/,one who pursued an old science,nhà giả kim,2
alcoholic,/ˌælkəˈhɑːlɪk/,one who drinks too much alcohol,kẻ nghiện rượu,5
alcoholism,/ˈælkəˌhɔˌlɪzəm/,a medical condition,nghiện rượu,2
alcove,/ˈælˌkoʊv/,a small section of a room,hốc tường,2
alder,/ˈɔldɝ/,a type of tree,cây sủi cảo,1
alderman,"/ˈɔldɝmən/, /ˈældɝmən/",an elected member of a town,người làm thị trưởng,2
ale,/ˈeɪl/,a drink like beer with alcohol,bia,4
alehouse,/ˈeɪlˌhaʊs/,a place for drinking beer,quán rượu,1
alertness,/əˈlɝːtnəs/,the state of being aware,sự tỉnh táo,1
alert,/əˈlɝːt/,to warn of danger,báo động,4
alfalfa,/ˌælˈfælfə/,a kind of plant,cỏ linh lăng,2
algae,/ˈældʒi/,a type of simple plant,tảo,3
